name,category_name,description,city,region,phone,email,website,min_order_amount,min_order_unit,price_range_description,has_certificates,certificate_types,delivery_conditions,delivery_regions,source_url,source_platform,notes
ООО «Пример Молоко»,Молочная продукция,Оптовые поставки молока и кисломолочной продукции.,Москва,Московская область,+7 (495) 000-00-01,opt@primer-moloko.ru,primer-moloko.ru,50000,руб,Молоко от 55 руб/л,True,"ГОСТ, HACCP",Доставка по Москве и МО,"Москва, Московская область",https://primer-moloko.ru,manual,
ООО «Рыба Опт»,Рыба и морепродукты,,Санкт-Петербург,Санкт-Петербург,+7 (812) 000-00-02,fish@ryba-opt.ru,ryba-opt.ru,100000,руб,,True,ГОСТ,Доставка по СЗФО,"Санкт-Петербург, Ленинградская область",,manual,Без описания — заполнит Ollama
ООО «АгроМясо»,Мясо и птица,Оптовые поставки говядины и свинины от производителя.,Воронеж,Воронежская область,+7 (473) 201-10-01,info@agromyaso.ru,agromyaso.ru,80000,руб,Говядина от 320 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЦФО,"Воронеж, Липецк, Тамбов",https://agromyaso.ru,manual,
ООО «СибХлеб»,Хлеб и выпечка,Производство и оптовая продажа хлебобулочных изделий.,Новосибирск,Новосибирская область,+7 (383) 300-20-05,opt@sibhleb.ru,sibhleb.ru,30000,руб,Хлеб от 18 руб/шт,True,ГОСТ,Ежедневная доставка по Новосибирску,"Новосибирск, Новосибирская область",https://sibhleb.ru,manual,
ООО «УралМасло»,Масложировая продукция,Оптовые поставки подсолнечного и рапсового масла.,Екатеринбург,Свердловская область,+7 (343) 210-30-00,sales@uralmaslo.ru,uralmaslo.ru,60000,руб,Масло от 95 руб/л,True,"ГОСТ, ISO 22000",Доставка по УФО,"Екатеринбург, Челябинск, Тюмень",https://uralmaslo.ru,manual,
ООО «КубаньСахар»,Бакалея,Оптовые поставки сахара-песка и сахара-рафинада.,Краснодар,Краснодарский край,+7 (861) 250-40-10,sugar@kubansakhar.ru,kubansakhar.ru,100000,руб,Сахар от 62 руб/кг,True,ГОСТ,Доставка по ЮФО,"Краснодар, Ростов-на-Дону, Ставрополь",https://kubansakhar.ru,manual,
ООО «ВолгаПтица»,Мясо и птица,Поставки охлаждённой и замороженной курятины оптом.,Саратов,Саратовская область,+7 (845) 230-50-20,opt@volgaptitsa.ru,volgaptitsa.ru,70000,руб,Курица от 180 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ПФО,"Саратов, Самара, Ульяновск",https://volgaptitsa.ru,manual,
ООО «СеверРыба»,Рыба и морепродукты,Оптовые поставки трески и сёмги из Мурманска.,Мурманск,Мурманская область,+7 (815) 220-60-30,info@severryba.ru,severryba.ru,150000,руб,Треска от 270 руб/кг,True,"ГОСТ, MSC",Доставка по СЗФО,"Мурманск, Архангельск, Петрозаводск",https://severryba.ru,manual,
ООО «КавказФрукт»,Фрукты и овощи,Оптовые поставки фруктов и овощей с Кавказа.,Ставрополь,Ставропольский край,+7 (865) 240-70-40,fruit@kavkazfrukt.ru,kavkazfrukt.ru,40000,руб,Яблоки от 55 руб/кг,False,,Доставка по ЮФО и СКФО,"Ставрополь, Нальчик, Владикавказ",https://kavkazfrukt.ru,manual,
ООО «ДальМорПродукт»,Рыба и морепродукты,Поставки краба и минтая с Дальнего Востока.,Владивосток,Приморский край,+7 (423) 260-80-50,sales@dalmor.ru,dalmor.ru,200000,руб,Краб от 1200 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по РФ,"Владивосток, Хабаровск, Москва",https://dalmor.ru,manual,
ООО «МосЗерно»,Бакалея,Оптовые поставки пшеницы гречки и риса.,Москва,Московская область,+7 (495) 310-90-60,grain@moszerno.ru,moszerno.ru,90000,руб,Гречка от 72 руб/кг,True,ГОСТ,Доставка по ЦФО,"Москва, МО, Тула, Рязань",https://moszerno.ru,manual,
ООО «ТверьМолПром»,Молочная продукция,Производство и поставка сыров и творога оптом.,Тверь,Тверская область,+7 (482) 290-00-70,tver@molprom.ru,tvermolprom.ru,55000,руб,Сыр от 420 руб/кг,True,"ГОСТ, HACCP",Доставка по ЦФО,"Тверь, Москва, Ярославль",https://tvermolprom.ru,manual,
ООО «ОренбургМясо»,Мясо и птица,Поставки баранины и конины оптом от фермерских хозяйств.,Оренбург,Оренбургская область,+7 (353) 270-10-80,meat@orenburg-myaso.ru,orenburg-myaso.ru,75000,руб,Баранина от 380 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ПФО и УФО,"Оренбург, Уфа, Магнитогорск",https://orenburg-myaso.ru,manual,
ООО «ПриволжьеОвощи»,Фрукты и овощи,Оптовые поставки картофеля лука и моркови.,Нижний Новгород,Нижегородская область,+7 (831) 280-20-90,veg@privolzhe.ru,privolzhe-ovoshi.ru,35000,руб,Картофель от 28 руб/кг,False,,Доставка по ПФО,"Нижний Новгород, Казань, Чебоксары",https://privolzhe-ovoshi.ru,manual,
ООО «АлтайМёд»,Кондитерские изделия,Оптовые поставки алтайского мёда и продуктов пчеловодства.,Барнаул,Алтайский край,+7 (385) 250-30-01,honey@altaj-med.ru,altaj-med.ru,25000,руб,Мёд от 350 руб/кг,True,"ГОСТ, органический сертификат",Доставка по СФО,"Барнаул, Новосибирск, Кемерово",https://altaj-med.ru,manual,
ООО «ЮжМорПродукт»,Рыба и морепродукты,Поставки чёрноморской рыбы и морепродуктов оптом.,Новороссийск,Краснодарский край,+7 (861) 220-40-02,fish@yugmor.ru,yugmor.ru,80000,руб,Ставрида от 120 руб/кг,True,ГОСТ,Доставка по ЮФО,"Новороссийск, Краснодар, Ростов",https://yugmor.ru,manual,
ООО «КировМолоко»,Молочная продукция,Оптовые поставки молока кефира и ряженки.,Киров,Кировская область,+7 (833) 230-50-03,milk@kirov-moloko.ru,kirov-moloko.ru,45000,руб,Молоко от 52 руб/л,True,ГОСТ,Доставка по ПФО,"Киров, Пермь, Ижевск",https://kirov-moloko.ru,manual,
ООО «ТюменьАгро»,Фрукты и овощи,Тепличные овощи и зелень оптом круглый год.,Тюмень,Тюменская область,+7 (345) 210-60-04,agro@tyumen-agro.ru,tyumen-agro.ru,30000,руб,Помидоры от 95 руб/кг,True,"ГОСТ, GlobalGAP",Доставка по УФО,"Тюмень, Екатеринбург, Сургут",https://tyumen-agro.ru,manual,
ООО «РостовМельница»,Бакалея,Мука пшеничная и ржаная оптом от производителя.,Ростов-на-Дону,Ростовская область,+7 (863) 290-70-05,flour@rostov-mill.ru,rostov-mill.ru,70000,руб,Мука в/с от 34 руб/кг,True,ГОСТ,Доставка по ЮФО,"Ростов, Краснодар, Волгоград",https://rostov-mill.ru,manual,
ООО «БашкирМёд»,Кондитерские изделия,Башкирский натуральный мёд всех сортов оптом.,Уфа,Республика Башкортостан,+7 (347) 260-80-06,med@bashkir-med.ru,bashkir-med.ru,20000,руб,Мёд липовый от 400 руб/кг,True,"ГОСТ, органический сертификат",Доставка по ПФО и УФО,"Уфа, Казань, Екатеринбург",https://bashkir-med.ru,manual,
ООО «СмоленскКрупа»,Бакалея,Оптовые поставки крупяных изделий и бобовых.,Смоленск,Смоленская область,+7 (481) 240-90-07,cereal@smolensk-krupa.ru,smolensk-krupa.ru,50000,руб,Горох от 48 руб/кг,True,ГОСТ,Доставка по ЦФО,"Смоленск, Москва, Брянск",https://smolensk-krupa.ru,manual,
ООО «КрасноярскОвощи»,Фрукты и овощи,Оптовые поставки тепличных и грунтовых овощей.,Красноярск,Красноярский край,+7 (391) 220-01-08,veg@krasovoshi.ru,krasovoshi.ru,35000,руб,Огурцы от 65 руб/кг,False,,Доставка по СФО,"Красноярск, Абакан, Ачинск",https://krasovoshi.ru,manual,
ООО «ПензаМолПром»,Молочная продукция,Производство и поставка масла сливочного и сметаны.,Пенза,Пензенская область,+7 (841) 200-02-09,dairy@penza-mol.ru,penza-mol.ru,40000,руб,Масло от 580 руб/кг,True,ГОСТ,Доставка по ПФО,"Пенза, Саратов, Тольятти",https://penza-mol.ru,manual,
ООО «НовгородМясо»,Мясо и птица,Поставки свинины и субпродуктов оптом.,Великий Новгород,Новгородская область,+7 (816) 230-03-10,meat@novgorod-myaso.ru,novgorod-myaso.ru,65000,руб,Свинина от 280 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по СЗФО,"Новгород, Псков, Петербург",https://novgorod-myaso.ru,manual,
ООО «ВологдаСыр»,Молочная продукция,Производство и поставка вологодских сыров оптом.,Вологда,Вологодская область,+7 (817) 210-04-11,cheese@vologda-syr.ru,vologda-syr.ru,60000,руб,Сыр от 450 руб/кг,True,"ГОСТ, HACCP",Доставка по СЗФО и ЦФО,"Вологда, Москва, Петербург",https://vologda-syr.ru,manual,
ООО «АстраханьРыба»,Рыба и морепродукты,Поставки воблы и судака из Астраханского региона.,Астрахань,Астраханская область,+7 (851) 250-05-12,fish@astryba.ru,astryba.ru,60000,руб,Вобла от 95 руб/кг,True,ГОСТ,Доставка по ЮФО,"Астрахань, Волгоград, Саратов",https://astryba.ru,manual,
ООО «ИркутскАгро»,Фрукты и овощи,Поставки картофеля и капусты из Сибири оптом.,Иркутск,Иркутская область,+7 (395) 230-06-13,agro@irkagro.ru,irkagro.ru,30000,руб,Капуста от 22 руб/кг,False,,Доставка по СФО,"Иркутск, Улан-Удэ, Чита",https://irkagro.ru,manual,
ООО «ПермьКолбаса»,Мясо и птица,Оптовые поставки колбасных изделий и деликатесов.,Пермь,Пермский край,+7 (342) 260-07-14,kolbasa@perm-kolbasa.ru,perm-kolbasa.ru,55000,руб,Колбаса варёная от 320 руб/кг,True,"ГОСТ, HACCP",Доставка по ПФО,"Пермь, Екатеринбург, Ижевск",https://perm-kolbasa.ru,manual,
ООО «КалининградРыба»,Рыба и морепродукты,Поставки балтийской сельди и шпрот оптом.,Калининград,Калининградская область,+7 (401) 240-08-15,fish@kalinin-ryba.ru,kalinin-ryba.ru,90000,руб,Сельдь от 110 руб/кг,True,"ГОСТ, MSC",Доставка по РФ,"Калининград, Москва, Петербург",https://kalinin-ryba.ru,manual,
ООО «ТамбовМолоко»,Молочная продукция,Поставки пастеризованного молока и йогуртов оптом.,Тамбов,Тамбовская область,+7 (475) 220-09-16,milk@tambov-moloko.ru,tambov-moloko.ru,42000,руб,Молоко от 54 руб/л,True,ГОСТ,Доставка по ЦФО,"Тамбов, Воронеж, Липецк",https://tambov-moloko.ru,manual,
ООО «БрянскКартофель»,Фрукты и овощи,Оптовые поставки картофеля брянских сортов.,Брянск,Брянская область,+7 (483) 200-10-17,potato@bryansk-kartof.ru,bryansk-kartof.ru,25000,руб,Картофель от 25 руб/кг,False,,Доставка по ЦФО,"Брянск, Орёл, Калуга",https://bryansk-kartof.ru,manual,
ООО «КемеровоМясо»,Мясо и птица,Поставки говядины и полуфабрикатов из Кузбасса.,Кемерово,Кемеровская область,+7 (384) 270-11-18,meat@kemer-myaso.ru,kemer-myaso.ru,70000,руб,Говядина от 340 руб/кг,True,ГОСТ,Доставка по СФО,"Кемерово, Новосибирск, Томск",https://kemer-myaso.ru,manual,
ООО «СаранскСахар»,Бакалея,Оптовые поставки сахара и кондитерского сырья.,Саранск,Республика Мордовия,+7 (834) 250-12-19,sugar@saransk-sakhar.ru,saransk-sakhar.ru,80000,руб,Сахар от 61 руб/кг,True,ГОСТ,Доставка по ПФО,"Саранск, Пенза, Ульяновск",https://saransk-sakhar.ru,manual,
ООО «ТомскОрех»,Бакалея,Оптовые поставки кедрового ореха и дикоросов.,Томск,Томская область,+7 (382) 230-13-20,nuts@tomsk-oreh.ru,tomsk-oreh.ru,20000,руб,Кедровый орех от 1200 руб/кг,True,ГОСТ,Доставка по СФО и РФ,"Томск, Новосибирск, Москва",https://tomsk-oreh.ru,manual,
ООО «ЯрославльОйл»,Масложировая продукция,Оптовые поставки льняного и конопляного масла.,Ярославль,Ярославская область,+7 (485) 210-14-21,oil@yaroslavl-oil.ru,yaroslavl-oil.ru,45000,руб,Льняное масло от 160 руб/л,True,"ГОСТ, органический сертификат",Доставка по ЦФО,"Ярославль, Иваново, Кострома",https://yaroslavl-oil.ru,manual,
ООО «МахачкалаОвощи»,Фрукты и овощи,Поставки томатов баклажанов и перца с Кавказа.,Махачкала,Республика Дагестан,+7 (872) 290-15-22,veg@makhachkala-ovoshi.ru,makhachkala-ovoshi.ru,30000,руб,Томаты от 75 руб/кг,False,,Доставка по СКФО и ЮФО,"Махачкала, Ставрополь, Ростов",https://makhachkala-ovoshi.ru,manual,
ООО «СыктывкарМолоко»,Молочная продукция,Поставки молока и творога от республиканских хозяйств.,Сыктывкар,Республика Коми,+7 (821) 260-16-23,dairy@syktyvkar-moloko.ru,syktyvkar-moloko.ru,38000,руб,Творог от 280 руб/кг,True,ГОСТ,Доставка по СЗФО,"Сыктывкар, Ухта, Архангельск",https://syktyvkar-moloko.ru,manual,
ООО «ЧелябинскМука»,Бакалея,Оптовые поставки муки и отрубей от мелькомбината.,Челябинск,Челябинская область,+7 (351) 240-17-24,flour@chelya-muka.ru,chelya-muka.ru,65000,руб,Мука 1 с от 32 руб/кг,True,ГОСТ,Доставка по УФО,"Челябинск, Магнитогорск, Екатеринбург",https://chelya-muka.ru,manual,
ООО «СочиФрукт»,Фрукты и овощи,Поставки цитрусовых и субтропических фруктов оптом.,Сочи,Краснодарский край,+7 (862) 220-18-25,fruit@sochi-frukt.ru,sochi-frukt.ru,40000,руб,Мандарины от 85 руб/кг,False,,Доставка по ЮФО,"Сочи, Краснодар, Ростов",https://sochi-frukt.ru,manual,
ООО «НижегородскийХлеб»,Хлеб и выпечка,Производство и поставка хлебобулочных изделий оптом.,Нижний Новгород,Нижегородская область,+7 (831) 200-19-26,bread@nn-hleb.ru,nn-hleb.ru,28000,руб,Батон от 22 руб/шт,True,ГОСТ,Ежедневная доставка по ПФО,"Нижний Новгород, Кстово, Дзержинск",https://nn-hleb.ru,manual,
